months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,injury_share,property_share,target,days_since_bind,incident_month,vehicle_age,collision_type_missing,authorities_contacted_missing,property_damage_missing,police_report_available_missing,hour_sin,hour_cos,hour_bin_4,csl_per_person,csl_per_incident
114,30,OH,1000,1173.25,0,FEMALE,Masters,protective-serv,dancing,husband,0,-34700,Vehicle Theft,Missing,Minor Damage,Missing,WV,Arlington,3,1,NO,0,3,YES,4680,Chevrolet,Malibu,0.1111111111111111,0.1111111111111111,0,2786,2,2,1,1,0,0,0.7071067811865475,0.7071067811865476,Night (0-5),250,500
270,45,OH,1000,1038.09,0,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,18,3,NO,1,1,YES,89400,Suburu,Legacy,0.1666666666666666,0.0833333333333333,0,1828,1,17,0,0,0,0,-1.0,-1.8369701987210294e-16,Evening (18-23),500,1000
106,28,OH,2000,1609.11,0,MALE,High School,craft-repair,polo,own-child,0,0,Vehicle Theft,Missing,Minor Damage,Police,WV,Hillsdale,8,1,YES,2,1,YES,5490,Saab,95,0.0,0.2222222222222222,0,9022,1,16,1,0,0,0,0.8660254037844387,-0.4999999999999998,Morning (6-11),100,300
230,37,IL,1000,1060.74,0,MALE,PhD,tech-support,reading,own-child,0,-51500,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Columbus,15,1,YES,2,3,Missing,49100,Suburu,Impreza,0.2,0.1,1,3560,1,19,0,0,0,1,-0.7071067811865475,-0.7071067811865477,Afternoon (12-17),500,1000
147,31,IN,500,1054.92,6000000,FEMALE,PhD,prof-specialty,exercise,own-child,51900,0,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Northbrook,4,1,Missing,0,0,Missing,68240,Toyota,Corolla,0.125,0.0,1,6549,1,2,0,0,1,1,0.8660254037844386,0.5000000000000001,Night (0-5),250,500
127,34,OH,500,1319.97,0,FEMALE,Associate,craft-repair,paintball,own-child,73700,0,Vehicle Theft,Missing,Minor Damage,Missing,NC,Arlington,8,1,YES,1,3,Missing,4700,Saab,92x,0.1,0.2,0,3079,1,17,1,1,0,1,0.8660254037844387,-0.4999999999999998,Morning (6-11),500,1000
259,39,OH,1000,1422.36,0,FEMALE,JD,craft-repair,movies,unmarried,0,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,PA,Columbus,12,3,NO,1,3,Missing,46560,Nissan,Ultima,0.1666666666666666,0.1666666666666666,0,7067,1,3,0,0,0,1,1.2246467991473532e-16,-1.0,Afternoon (12-17),250,500
115,31,OH,1000,1051.67,0,FEMALE,Associate,exec-managerial,bungie-jumping,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,WV,Riverwood,18,3,YES,0,3,NO,34160,Audi,A5,0.0,0.125,1,3374,3,10,0,0,0,0,-1.0,-1.8369701987210294e-16,Evening (18-23),500,1000
440,57,IL,1000,995.55,5000000,MALE,College,protective-serv,paintball,wife,51500,-52100,Multi-vehicle Collision,Rear Collision,Major Damage,Police,SC,Arlington,19,3,YES,0,3,Missing,68200,Jeep,Wrangler,0.1818181818181818,0.1818181818181818,1,2881,2,8,0,0,0,1,-0.9659258262890684,0.2588190451025203,Evening (18-23),100,300
85,30,IN,1000,1454.42,0,MALE,Associate,protective-serv,reading,other-relative,51600,-73900,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,19,1,YES,0,1,YES,74280,Suburu,Forrestor,0.1666666666666666,0.1666666666666666,1,7764,1,9,0,0,0,0,-0.9659258262890684,0.2588190451025203,Evening (18-23),500,1000
101,29,OH,500,1380.89,0,MALE,PhD,armed-forces,dancing,own-child,30000,-53000,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Arlington,0,3,Missing,2,1,Missing,67210,BMW,X6,0.1818181818181818,0.1818181818181818,0,181,2,19,0,0,1,1,0.0,1.0,Night (0-5),250,500
294,44,IL,1000,1226.49,0,FEMALE,PhD,farming-fishing,kayaking,unmarried,53900,0,Vehicle Theft,Missing,Trivial Damage,Missing,WV,Riverwood,3,1,NO,0,1,NO,6100,Ford,Fusion,0.1,0.2,0,8940,2,13,1,1,0,0,0.7071067811865475,0.7071067811865476,Night (0-5),100,300
273,41,OH,1000,1403.9,0,FEMALE,PhD,farming-fishing,dancing,own-child,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,VA,Riverwood,16,2,Missing,1,2,YES,44110,Honda,Accord,0.0909090909090909,0.1818181818181818,0,1809,1,0,0,0,1,0,-0.8660254037844384,-0.5000000000000004,Afternoon (12-17),500,1000
285,47,IN,1000,1216.68,0,FEMALE,Masters,sales,basketball,other-relative,55100,0,Vehicle Theft,Missing,Trivial Damage,Police,SC,Columbus,8,1,NO,1,1,NO,2700,Ford,F150,0.1111111111111111,0.1111111111111111,0,8499,1,2,1,0,0,0,0.8660254037844387,-0.4999999999999998,Morning (6-11),100,300
63,24,OH,2000,1620.89,0,FEMALE,High School,handlers-cleaners,movies,other-relative,0,0,Vehicle Theft,Missing,Minor Damage,Police,NC,Hillsdale,7,1,NO,2,0,NO,6120,Toyota,Corolla,0.1666666666666666,0.1666666666666666,0,7696,2,0,1,0,0,0,0.9659258262890684,-0.2588190451025208,Morning (6-11),250,500
428,54,IN,2000,1506.21,0,MALE,Masters,transport-moving,kayaking,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,NY,Riverwood,16,3,NO,1,0,Missing,76560,Nissan,Ultima,0.1666666666666666,0.0833333333333333,0,4005,1,6,0,0,0,1,-0.8660254037844384,-0.5000000000000004,Afternoon (12-17),100,300
80,27,IL,1000,1474.17,0,FEMALE,College,tech-support,exercise,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,13,1,YES,1,0,YES,52800,Saab,95,0.2,0.1,0,6772,2,11,0,0,0,0,-0.2588190451025203,-0.9659258262890684,Afternoon (12-17),100,300
232,42,IN,500,944.03,0,MALE,College,handlers-cleaners,kayaking,not-in-family,0,-58400,Single Vehicle Collision,Rear Collision,Minor Damage,Other,WV,Riverwood,11,1,YES,2,3,Missing,77000,Toyota,Highlander,0.2,0.1,1,660,2,0,0,0,0,1,0.258819045102521,-0.9659258262890682,Morning (6-11),100,300
64,28,IL,1000,1468.82,0,MALE,JD,handlers-cleaners,skydiving,other-relative,56800,-51800,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Riverwood,9,3,NO,2,1,NO,60000,Honda,Accord,0.0833333333333333,0.1666666666666666,0,8497,2,18,0,0,0,0,0.7071067811865476,-0.7071067811865475,Morning (6-11),500,1000
465,63,IL,500,1006.99,6000000,FEMALE,Masters,sales,board-games,own-child,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Columbus,7,1,NO,0,3,Missing,43560,Suburu,Legacy,0.1111111111111111,0.1111111111111111,0,1120,2,0,0,0,0,1,0.9659258262890684,-0.2588190451025208,Morning (6-11),250,500
429,56,OH,1000,1127.89,6000000,MALE,Associate,machine-op-inspct,skydiving,own-child,67400,-43800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Springfield,0,1,YES,2,0,YES,39480,Suburu,Forrestor,0.1666666666666666,0.1666666666666666,0,5891,1,13,0,0,0,0,0.0,1.0,Night (0-5),250,500
124,32,IL,1000,1198.15,0,FEMALE,MD,other-service,hiking,not-in-family,0,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,VA,Springfield,19,3,NO,0,2,YES,73560,BMW,X5,0.1666666666666666,0.1666666666666666,0,8295,2,20,0,0,0,0,-0.9659258262890684,0.2588190451025203,Evening (18-23),250,500
87,27,OH,500,1048.39,0,FEMALE,Masters,transport-moving,polo,own-child,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,NY,Riverwood,2,1,Missing,2,1,YES,34650,Ford,F150,0.1818181818181818,0.0909090909090909,0,4059,2,19,0,0,1,0,0.4999999999999999,0.8660254037844387,Night (0-5),100,300
304,49,IN,1000,1525.86,0,FEMALE,PhD,craft-repair,camping,own-child,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Other,NC,Northbend,2,1,YES,1,1,YES,73370,Saab,95,0.1818181818181818,0.0909090909090909,0,4866,1,2,0,0,0,0,0.4999999999999999,0.8660254037844387,Night (0-5),100,300
396,57,IN,1000,1366.39,0,MALE,High School,protective-serv,exercise,other-relative,0,-22400,Multi-vehicle Collision,Front Collision,Major Damage,Other,NC,Columbus,22,3,YES,2,1,NO,52560,Saab,93,0.2222222222222222,0.1111111111111111,0,8146,1,20,0,0,0,0,-0.5000000000000004,0.8660254037844384,Evening (18-23),100,300
328,48,IL,500,1411.43,0,MALE,Masters,armed-forces,bungie-jumping,own-child,45100,-32800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,17,1,YES,2,1,NO,59400,Honda,Civic,0.1,0.2,0,3324,1,1,0,0,0,0,-0.9659258262890684,-0.2588190451025206,Afternoon (12-17),250,500
194,41,IL,500,1203.81,0,MALE,JD,transport-moving,video-games,not-in-family,52500,-51300,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,WV,Springfield,17,3,Missing,0,2,Missing,95900,Saab,95,0.1428571428571428,0.2142857142857142,0,8026,2,16,0,0,1,1,-0.9659258262890684,-0.2588190451025206,Afternoon (12-17),250,500
96,27,IL,1000,1631.1,0,FEMALE,High School,priv-house-serv,exercise,wife,0,0,Parked Car,Missing,Trivial Damage,Police,WV,Arlington,4,1,Missing,1,2,NO,6030,Nissan,Pathfinder,0.1111111111111111,0.1111111111111111,0,2166,1,8,1,0,1,0,0.8660254037844386,0.5000000000000001,Night (0-5),100,300
5,21,IN,500,915.41,5000000,FEMALE,High School,exec-managerial,sleeping,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Police,NY,Northbrook,23,1,YES,0,0,NO,40500,Nissan,Pathfinder,0.1,0.1,0,4473,2,17,0,0,0,0,-0.2588190451025207,0.9659258262890684,Evening (18-23),250,500
151,36,OH,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,12,3,NO,1,1,NO,62920,Ford,Escape,0.1818181818181818,0.0909090909090909,0,3601,1,15,0,0,0,0,1.2246467991473532e-16,-1.0,Afternoon (12-17),250,500
257,40,IN,500,1379.93,0,MALE,MD,armed-forces,base-jumping,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,NY,Columbus,6,3,Missing,0,2,YES,51810,Audi,A3,0.1818181818181818,0.0909090909090909,1,929,2,13,0,0,1,0,1.0,6.123233995736766e-17,Morning (6-11),250,500
325,47,IN,1000,1690.27,0,FEMALE,Associate,protective-serv,hiking,not-in-family,61500,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,11,1,YES,0,3,NO,72930,Dodge,RAM,0.0909090909090909,0.0909090909090909,1,3265,1,9,0,0,0,0,0.258819045102521,-0.9659258262890682,Morning (6-11),500,1000
158,33,OH,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,skydiving,other-relative,0,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,SC,Hillsdale,0,1,Missing,0,0,Missing,35000,Suburu,Legacy,0.1,0.2,0,396,1,3,0,0,1,1,0.0,1.0,Night (0-5),100,300
234,41,IN,500,951.56,0,FEMALE,JD,transport-moving,video-games,wife,59400,-78600,Multi-vehicle Collision,Side Collision,Major Damage,Police,SC,Riverwood,3,3,NO,2,1,Missing,98280,Chevrolet,Tahoe,0.1538461538461538,0.0769230769230769,1,9034,2,8,0,0,0,1,0.7071067811865475,0.7071067811865476,Night (0-5),100,300
119,27,IN,2000,1097.64,0,MALE,High School,transport-moving,video-games,other-relative,27100,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,PA,Northbend,16,2,NO,1,0,Missing,63720,Accura,TL,0.1111111111111111,0.3333333333333333,0,6394,2,9,0,0,0,1,-0.8660254037844384,-0.5000000000000004,Afternoon (12-17),250,500
264,41,OH,500,1411.3,0,MALE,PhD,prof-specialty,cross-fit,unmarried,55600,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Northbrook,4,1,NO,1,0,Missing,60390,BMW,M5,0.1818181818181818,0.0909090909090909,1,4498,2,11,0,0,0,1,0.8660254037844386,0.5000000000000001,Night (0-5),100,300
135,30,IN,2000,1341.24,0,FEMALE,MD,farming-fishing,skydiving,wife,37100,-46500,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Riverwood,18,3,NO,0,1,NO,32670,Honda,Accord,0.1818181818181818,0.0909090909090909,0,2189,1,12,0,0,0,0,-1.0,-1.8369701987210294e-16,Evening (18-23),500,1000
98,31,IN,500,671.92,0,MALE,Masters,machine-op-inspct,bungie-jumping,wife,0,-26400,Single Vehicle Collision,Front Collision,Minor Damage,Other,NC,Riverwood,3,1,Missing,2,0,Missing,64080,Ford,Escape,0.1111111111111111,0.1111111111111111,0,9123,1,18,0,0,1,1,0.7071067811865475,0.7071067811865476,Night (0-5),100,300
61,29,IN,1000,1115.27,0,MALE,JD,handlers-cleaners,polo,unmarried,0,-66000,Parked Car,Missing,Trivial Damage,Missing,VA,Hillsdale,10,1,YES,2,1,YES,5900,Nissan,Pathfinder,0.1,0.1,0,7233,1,5,1,1,0,0,0.4999999999999999,-0.8660254037844387,Morning (6-11),250,500
9,24,IL,2000,1304.46,0,FEMALE,PhD,machine-op-inspct,golf,other-relative,51700,-33300,Vehicle Theft,Missing,Trivial Damage,Missing,NC,Arlington,6,1,NO,0,3,YES,5940,Audi,A5,0.0909090909090909,0.1818181818181818,1,4634,1,14,1,1,0,0,1.0,6.123233995736766e-17,Morning (6-11),100,300
158,33,OH,1000,1744.64,3000000,MALE,JD,prof-specialty,movies,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Springfield,4,3,NO,0,1,NO,36400,Volkswagen,Jetta,0.1,0.2,0,413,2,17,0,0,0,0,0.8660254037844386,0.5000000000000001,Night (0-5),100,300
338,47,IL,500,1143.46,4000000,MALE,MD,priv-house-serv,polo,other-relative,0,0,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,Arlington,4,1,YES,2,1,Missing,58560,Mercedes,E400,0.1666666666666666,0.1666666666666666,0,7123,2,13,0,0,0,1,0.8660254037844386,0.5000000000000001,Night (0-5),500,1000
156,31,IL,2000,1134.08,0,MALE,PhD,other-service,reading,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,NC,Arlington,3,1,Missing,2,0,Missing,59000,Ford,Fusion,0.1,0.1,1,6713,2,2,0,0,1,1,0.7071067811865475,0.7071067811865476,Night (0-5),100,300
415,52,IN,1000,973.5,0,MALE,PhD,machine-op-inspct,polo,not-in-family,50400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,WV,Arlington,15,2,YES,1,3,YES,51090,Toyota,Highlander,0.1538461538461538,0.1538461538461538,0,0,2,12,0,0,0,0,-0.7071067811865475,-0.7071067811865477,Afternoon (12-17),250,500
413,55,IN,2000,1268.79,0,MALE,MD,priv-house-serv,chess,own-child,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,15,1,Missing,2,2,Missing,98160,Dodge,RAM,0.0833333333333333,0.1666666666666666,1,8746,1,4,0,0,1,1,-0.7071067811865475,-0.7071067811865477,Afternoon (12-17),100,300
64,25,IL,1000,954.16,0,MALE,Masters,prof-specialty,video-games,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,22,4,NO,0,0,Missing,75600,Toyota,Corolla,0.1666666666666666,0.1666666666666666,0,5448,1,10,0,0,0,1,-0.5000000000000004,0.8660254037844384,Evening (18-23),250,500
103,26,IL,500,1354.83,0,MALE,MD,tech-support,sleeping,husband,66300,0,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Arlington,14,2,NO,2,2,Missing,40600,Volkswagen,Passat,0.1,0.1,0,272,1,5,0,0,0,1,-0.5000000000000001,-0.8660254037844386,Afternoon (12-17),100,300
235,42,OH,500,1253.12,4000000,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,22,1,YES,2,2,Missing,87010,Ford,F150,0.0909090909090909,0.1818181818181818,0,4608,1,13,0,0,0,1,-0.5000000000000004,0.8660254037844384,Evening (18-23),100,300
298,49,OH,500,1451.01,0,FEMALE,College,other-service,exercise,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,17,1,NO,2,2,NO,28100,Jeep,Grand Cherokee,0.1,0.2,0,2282,2,3,0,0,0,0,-0.9659258262890684,-0.2588190451025206,Afternoon (12-17),250,500
65,29,IL,1000,1726.91,0,MALE,High School,other-service,basketball,own-child,0,0,Vehicle Theft,Missing,Trivial Damage,Missing,VA,Hillsdale,14,1,Missing,0,0,Missing,7200,Audi,A5,0.1,0.2,0,8938,1,16,1,1,1,1,-0.5000000000000001,-0.8660254037844386,Afternoon (12-17),250,500
231,43,IL,2000,972.47,0,MALE,College,protective-serv,reading,wife,0,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,PA,Hillsdale,15,3,YES,2,2,YES,77100,Audi,A3,0.1,0.2,0,3151,2,5,0,0,0,0,-0.7071067811865475,-0.7071067811865477,Afternoon (12-17),250,500
195,39,OH,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,Parked Car,Missing,Minor Damage,Police,VA,Northbend,5,1,NO,0,1,YES,2640,Ford,F150,0.1818181818181818,0.1818181818181818,0,194,2,6,1,0,0,0,0.9659258262890684,0.2588190451025207,Night (0-5),250,500
93,31,IL,2000,1017.18,0,FEMALE,MD,prof-specialty,paintball,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,21,3,YES,1,3,NO,48070,Saab,92x,0.1818181818181818,0.1818181818181818,0,2591,2,1,0,0,0,0,-0.7071067811865477,0.7071067811865474,Evening (18-23),100,300
404,53,IN,500,767.14,0,MALE,Associate,sales,reading,not-in-family,25500,-36700,Parked Car,Missing,Trivial Damage,Police,WV,Columbus,8,1,NO,0,1,NO,8800,Suburu,Legacy,0.2,0.1,0,35,1,13,1,0,0,0,0.8660254037844387,-0.4999999999999998,Morning (6-11),250,500
75,27,OH,1000,1141.1,0,MALE,JD,armed-forces,movies,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,SC,Hillsdale,15,2,Missing,0,1,YES,71640,Toyota,Highlander,0.0833333333333333,0.1666666666666666,0,7750,2,7,0,0,1,0,-0.7071067811865475,-0.7071067811865477,Afternoon (12-17),100,300
137,35,IN,500,1667.83,0,MALE,JD,prof-specialty,paintball,husband,48500,-67400,Parked Car,Missing,Minor Damage,Police,WV,Northbrook,4,1,YES,1,1,NO,6600,Jeep,Grand Cherokee,0.1818181818181818,0.1818181818181818,0,1791,2,10,1,0,0,0,0.8660254037844386,0.5000000000000001,Night (0-5),250,500
211,37,OH,2000,1295.63,4000000,FEMALE,PhD,armed-forces,skydiving,not-in-family,42200,-33800,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbend,22,3,YES,1,0,Missing,53460,Honda,CRV,0.1111111111111111,0.1111111111111111,0,1485,1,6,0,0,0,1,-0.5000000000000004,0.8660254037844384,Evening (18-23),250,500
152,33,IN,1000,1034.27,0,FEMALE,JD,armed-forces,exercise,husband,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Hillsdale,18,1,NO,1,0,NO,63900,Accura,TL,0.1111111111111111,0.1111111111111111,0,4989,2,1,0,0,0,0,-1.0,-1.8369701987210294e-16,Evening (18-23),100,300
271,42,OH,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,12,2,Missing,2,3,Missing,68310,Audi,A3,0.1818181818181818,0.0909090909090909,1,1285,2,12,0,0,1,1,1.2246467991473532e-16,-1.0,Afternoon (12-17),100,300
37,25,OH,1000,1221.17,0,FEMALE,Masters,protective-serv,golf,not-in-family,49300,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,SC,Northbrook,4,3,YES,0,0,YES,51030,Suburu,Impreza,0.1111111111111111,0.2222222222222222,0,4344,1,19,0,0,0,0,0.8660254037844386,0.5000000000000001,Night (0-5),100,300
118,28,IN,2000,1207.36,0,FEMALE,High School,handlers-cleaners,camping,own-child,0,-57000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Columbus,22,2,NO,1,0,Missing,74200,Volkswagen,Passat,0.1,0.2,0,8464,3,18,0,0,0,1,-0.5000000000000004,0.8660254037844384,Evening (18-23),500,1000
231,43,IN,2000,1331.69,0,FEMALE,Masters,adm-clerical,reading,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,12,1,Missing,1,2,NO,66950,Chevrolet,Malibu,0.1538461538461538,0.1538461538461538,0,1763,2,0,0,0,1,0,1.2246467991473532e-16,-1.0,Afternoon (12-17),100,300
193,40,OH,500,1233.85,0,FEMALE,College,handlers-cleaners,chess,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,PA,Hillsdale,23,3,Missing,2,1,YES,64260,Ford,Escape,0.0,0.2222222222222222,0,3655,2,16,0,0,1,0,-0.2588190451025207,0.9659258262890684,Evening (18-23),100,300
100,33,OH,500,1124.59,6000000,MALE,College,adm-clerical,golf,not-in-family,67300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,NC,Columbus,4,1,NO,1,2,NO,40800,BMW,X5,0.1666666666666666,0.1666666666666666,0,3602,2,11,0,0,0,0,0.8660254037844386,0.5000000000000001,Night (0-5),250,500
39,31,IL,2000,1366.9,0,FEMALE,High School,handlers-cleaners,polo,husband,0,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,NC,Northbend,14,3,Missing,1,0,NO,52700,BMW,X6,0.2,0.2,1,4383,1,1,0,0,1,0,-0.5000000000000001,-0.8660254037844386,Afternoon (12-17),250,500
40,39,IN,1000,1248.25,4000000,FEMALE,College,sales,hiking,own-child,0,-33300,Parked Car,Missing,Minor Damage,Police,VA,Northbrook,8,1,NO,0,2,Missing,8760,BMW,3 Series,0.1666666666666666,0.1666666666666666,0,5058,2,2,1,0,0,1,0.8660254037844387,-0.4999999999999998,Morning (6-11),500,1000
356,54,OH,500,912.3,0,MALE,College,prof-specialty,yachting,wife,58500,-44000,Multi-vehicle Collision,Front Collision,Major Damage,Other,SC,Northbend,23,3,NO,2,1,Missing,68750,Audi,A5,0.1818181818181818,0.1818181818181818,1,2526,1,8,0,0,0,1,-0.2588190451025207,0.9659258262890684,Evening (18-23),500,1000
199,37,IN,500,1262.08,0,MALE,JD,tech-support,video-games,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,4,1,Missing,0,3,NO,60170,Nissan,Pathfinder,0.1818181818181818,0.1818181818181818,1,6374,1,4,0,0,1,0,0.8660254037844386,0.5000000000000001,Night (0-5),250,500
